Datum;Uhrzeit;Ana1 - 1: T_Kollektor;Ana2 - 2: T_I_VL;Ana3 - 3: T_I_RL;Ana4 - 4: T_II_VL;Ana5 - 5: T_II_RL;Ana6 - 6: T_SP_oben;Ana7 - 7: T_Anf_Entfeuchter;Ana8 - 8: T_reg_nach_HX_(TIBT851);Ana9 - 9: T_SP_mitte_ob;Ana10 - 10: T_SP_mitte_unten;Ana11 - 11: T_SP_unten;Ana12 - 12: T_III_VL_1;Ana13 - 13: T_AU;Ana14 - 14: Betrieb_Entfeuchter;Ana15 - 15: P_el;Ana16 - 16: Störung_Entfeuchter;Ana17 - 12: PWM Pumpe_I;Ana18 - 1: T_reg_(TICBT103);Dig1 - 1: Pumpe_I;Dig2 - 2: Pumpe_II;Dig3 - 3: Pumpe_III;Dig4;Dig5 - 5: Anforderung_Entfeuchter;Dig6;Dig7;Dig8;Dig9;Dig10;Dig11;Dig12 - 12: PWM Pumpe_I;Dig13 - 13: SpannungsversTPHI 1;Dig14 - 14: SpannungsversTPHI 2
2026-06-10;11:20:49;46,3;46,2;41,8;44,2;39,3;42,6;0,0;18,6;41,1;40,9;40,2;25,2;18,3;0;0,00;0;1;20,3;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:22:49;49,4;46,3;45,9;43,8;40,3;42,7;0,0;18,6;41,1;41,1;40,3;25,3;18,5;0;0,00;0;1;20,3;1;0;0;;1;;;;;;;1;1;1
2026-06-10;11:24:49;49,7;46,7;41,8;45,4;39,4;42,7;0,0;18,6;41,5;41,3;40,4;25,4;18,8;0;0,00;0;1;20,3;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:26:49;47,6;48,9;42,7;47,4;39,9;42,9;0,0;18,6;41,6;41,3;40,6;25,5;19,0;0;0,00;0;1;20,2;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:28:49;47,5;46,6;42,7;45,4;40,1;43,3;0,0;18,6;41,9;41,4;40,7;25,6;19,1;0;0,00;0;1;20,2;1;0;0;;1;;;;;;;1;1;1
2026-06-10;11:30:49;47,3;47,0;42,5;45,7;40,2;43,2;0,0;18,6;41,8;41,7;40,8;25,7;19,2;0;0,00;0;1;20,1;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:32:49;48,5;47,8;45,4;45,1;40,2;43,4;0,0;18,6;41,8;41,7;41,0;25,8;18,9;0;0,00;0;1;20,1;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:34:49;50,4;47,1;42,4;45,8;40,2;43,4;0,0;18,6;42,1;41,9;41,0;25,9;18,7;0;0,00;0;1;20,1;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:36:49;47,4;48,5;43,1;47,2;40,7;43,7;0,0;18,6;42,5;41,9;41,2;26,0;18,6;0;0,00;0;1;20,0;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:38:49;46,9;46,6;46,0;45,5;40,4;43,8;0,0;18,6;42,3;42,2;41,2;26,0;18,5;0;0,00;0;1;20,0;1;0;0;;1;;;;;;;1;1;1
2026-06-10;11:40:49;48,0;46,2;46,1;44,7;42,6;43,8;0,0;18,6;42,3;42,2;41,4;26,1;18,5;0;0,00;0;1;20,0;1;0;0;;1;;;;;;;1;1;1
2026-06-10;11:42:49;51,0;49,4;43,5;47,0;40,8;43,8;0,0;18,6;42,3;42,2;41,2;26,2;18,4;0;0,00;0;1;20,0;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:44:49;51,1;50,4;43,7;48,7;41,0;44,2;0,0;18,6;42,8;42,4;41,5;26,2;18,4;0;0,00;0;1;19,9;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:46:49;49,1;48,7;43,4;47,4;41,1;44,3;0,0;18,6;43,0;42,6;41,6;26,3;18,6;0;0,00;0;1;19,9;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:48:49;49,5;48,7;43,6;47,4;41,4;44,5;0,0;18,6;43,1;42,9;41,8;26,4;18,7;0;0,00;0;1;19,9;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:50:49;49,3;48,8;43,7;47,5;41,6;44,6;0,0;18,6;43,3;43,0;42,1;26,5;18,6;0;0,00;0;1;19,9;1;1;0;;1;;;;;;;1;1;1
2026-06-10;11:52:49;49,4;48,9;43,8;47,6;41,6;44,8;0,0;18,6;43,3;43,2;42,2;26,6;18,9;0;0,00;0;1;19,9;1;1;0;;1;;;;;;;1;1;1
